Symbol,Security,GICS_Sector,GICS_Sub_Industry,Headquarters,Date_First_Added,CIK,Founded
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724,1994
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667,1904/1946/1959
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187,1964
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",12/21/20,1318605,2003
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/15,1158449,1932
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",7/22/02,1065088,1995
HD,The Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,354950,1978
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",6/7/00,829224,1971
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/57,37996,1903
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/07,1324424,1996