,Returns,Volatility,Cumulative_Return,Sharpe Ratio,2020_2021,2021_2022,2020_2022,Class
AAP,0.060492402526831,2.343571142362744,23.11169914127509,8.81974469118795,16.151950029425844,4.584109992729135,23.11169914127509,1
AAPL,0.13859336557193505,2.3315075504390017,103.52125564533124,43.353604249018595,64.32696608696318,22.99551667806132,103.52125564533124,1
ABT,0.06063497998888723,1.9373399219016958,30.64026967670339,14.555148199818195,40.563275453788904,-6.356189004668067,30.64026967670339,1
AMAT,0.12361095946089924,3.277319325956691,55.68346060029874,16.245429665220946,118.10175108456198,-32.61364561524037,55.68346060029874,1
AMD,0.13939582098521822,3.492412343584976,65.19348906518164,17.9679496266947,59.87780537584872,0.02466922353476786,65.19348906518164,1
AMGN,0.0334188277857989,1.8110614823714002,11.563616490236917,5.036613377858984,7.283803133418254,3.8390009323635566,11.563616490236917,1
AMT,0.048524008615343936,2.1084203279364804,18.28308459247574,7.513247895868787,6.603164533867001,10.494248233657189,18.28308459247574,1
AMZN,0.05585316101356989,2.3526250263034076,19.65164158144539,7.315080554288866,63.01705357704177,-28.15564640351653,19.65164158144539,1
AVB,0.02768624765550147,2.2577082402748547,1.2884679302373803,-0.5109305308741701,-6.424582662669664,6.858435895180559,1.2884679302373803,0
BIIB,0.00855539992867312,3.4869587146910104,-26.247280550146137,-8.227593985920874,-4.924548231133741,-22.137705442894685,-26.247280550146137,-1
BMY,0.05090742680478422,1.4775673097128057,29.06241637154825,18.01638151883751,3.637486215948571,24.92832802603644,29.06241637154825,1
CBRE,0.07849151710535972,2.87342425563593,26.805464646945353,8.478895728383614,28.67599414343447,-2.610873063844643,26.805464646945353,1
CI,0.08111820784275757,2.4987276047806883,37.42783613991818,14.001460612586005,18.482952406890043,15.946370048934288,37.42783613991818,1
CLX,0.023933886239307305,1.9123966950209448,3.5440690288338184,0.5762763717920713,29.902157857770707,-20.270053970860623,3.5440690288338184,0
COST,0.11314867509132762,1.699313172991462,87.67378499315117,50.15660818017999,25.391909164974493,48.63244222525396,87.67378499315117,1
DRE,0.1126162564823871,2.190232438055817,75.87982724566578,33.52969573898451,25.971113730407282,36.58963900857051,75.87982724566578,1
EBAY,0.06077277644323782,2.3057519987057136,24.292421675095355,9.476483892179488,71.67301333098493,-29.744620981322388,24.292421675095355,1
ESS,0.02090897382571052,2.3032585467595013,-3.7214324944949584,-2.675962063905683,-4.69190361634616,-0.6806785067480337,-3.7214324944949584,0
EXPE,0.036452942322124614,3.602874252939661,-16.477639334760507,-5.251262743717346,55.6672284505288,-47.50753008652053,-16.477639334760507,-1
EXR,0.10981909449512284,2.078785006384211,75.23806400079347,35.01856314011675,32.134234690180705,29.781810525007813,75.23806400079347,1
F,0.09112608648754701,3.1664088100362084,30.43008870275854,8.839063551758652,32.25405605870269,-0.7308589022517409,30.43008870275854,1
GILD,0.0257980816289736,1.768790330147541,6.776775228579668,2.45070043333971,4.277580598659192,-0.39289362032998154,6.776775228579668,0
GIS,0.08372864327608738,1.5979039287892,57.224354233735106,34.28388481105121,22.776844972707266,28.897818181865897,57.224354233735106,1
HD,0.07651539038552167,2.1154565149926086,40.82991945964951,18.14639969556814,43.13468379305034,-2.4094798874749745,40.82991945964951,1
HRL,0.03329305182333779,1.5895199576973182,14.158456197634074,7.3710657993922215,10.577615529074414,3.628707354121019,14.158456197634074,1
JNJ,0.05165271299588717,1.4341868030303593,30.237564497274704,19.380714170946334,16.373711113757384,12.957915238633099,30.237564497274704,1
KIM,0.07474148072601013,3.3577017669641185,13.05231249955121,3.1599925293974436,1.2680704133229526,9.020192559010853,13.05231249955121,1
KO,0.04567808981874493,1.616232750244549,23.063148731099048,12.758774209951445,-0.040898366994679414,23.582420853205967,23.063148731099048,1
KR,0.10933789197382382,2.078168694654641,75.10322869491577,34.96406662356682,28.948609928182112,35.94413827070393,75.10322869491577,1
LH,0.08832204876842994,2.371418346540739,46.41907019791815,18.544627632686094,52.27490757324218,-2.9589859853729195,46.41907019791815,1
LOW,0.10354204050417698,2.415122877980859,59.7038746712589,23.70971481133588,61.23948277123659,-1.542571394092962,59.7038746712589,1
MSFT,0.10083882101736413,2.174234361224069,63.594691584117705,28.126080920591026,48.684107404388755,7.041010284191418,63.594691584117705,1
MU,0.06696298094160918,3.140847998357914,11.729424181022274,2.956979830248993,59.252589909459495,-33.03006317288724,11.729424181022274,1
NKE,0.03323432700034626,2.290594398072197,4.69669003069515,0.98432530551578,31.535396144561467,-20.18796997728568,4.69669003069515,0
NVDA,0.21256770214411974,3.4816769395700327,163.56271912856636,46.27675741462212,122.99849685736986,14.224081593747862,163.56271912856636,1
NXPI,0.09305987200139185,3.1450069927421946,31.967845633893297,9.388165337002675,59.18528289736571,-19.783274518942672,31.967845633893297,1
PAYC,0.07488808231828178,3.425552318534013,11.048565168505764,2.51246058101048,36.15158726220036,-19.885869522955378,11.048565168505764,1
PEP,0.061307851435973414,1.6682677434793414,35.26216715066823,19.673201306535155,8.035990081234345,25.35168997294457,35.26216715066823,1
PFE,0.08557968942064273,1.9445013328299783,53.110089320177956,26.05711215761261,2.65387245972466,48.86419051874624,53.110089320177956,1
PG,0.04688323935787397,1.5579260469724323,24.8475060164713,14.381623607880899,13.128530263377435,11.304113681755702,24.8475060164713,1
PSA,0.09054189343532708,1.8176079891966224,60.17653809139758,31.764020863990638,22.299783227711224,28.277604897975085,60.17653809139758,1
PYPL,-0.012217846241058743,3.1739612790189278,-33.264105045499434,-11.24969774569405,119.26861971818568,-70.14219695131186,-33.264105045499434,-1
SBUX,0.016084952803736265,2.302969068160203,-6.425241626787825,-3.8503520300738088,25.347997270574506,-25.423098619892347,-6.425241626787825,0
SPG,0.0369733568432888,3.9608760181217075,-23.536578351999026,-6.558796143363852,-15.959154440988932,-10.145759805614684,-23.536578351999026,-1
STZ,0.0688949438477122,2.10544761447861,34.73379811199848,15.337260300344814,23.556368915417213,8.27708066629751,34.73379811199848,1
SWKS,0.01954913942777509,2.9275147519856866,-13.84235850186889,-5.562519707483445,53.45836188205488,-45.11827375333871,-13.84235850186889,-1
TSLA,0.441502089096901,4.6518006123712095,736.9358014463684,157.8945149740559,676.1934382881899,8.83264257000851,736.9358014463684,1
UNH,0.1229312961051714,2.188513688723567,87.90024000003464,39.04852888988666,29.756204907985563,46.782737576566106,87.90024000003464,1
WELL,0.06899068524852822,3.227387462140608,11.187763825897456,2.709858648362199,-5.4801735778050364,15.03271392094847,11.187763825897456,1
WMT,0.03209131898479442,1.6163520243408864,12.925417000559714,6.485850138267142,16.591610960347026,-2.9944906143422045,12.925417000559714,1
